task_id,task_name,episode_idx,success,steps,max_steps
0,open the middle drawer of the cabinet,0,True,127,310
0,open the middle drawer of the cabinet,1,True,122,310
0,open the middle drawer of the cabinet,2,False,310,310
0,open the middle drawer of the cabinet,3,True,117,310
0,open the middle drawer of the cabinet,4,True,118,310
0,open the middle drawer of the cabinet,5,True,115,310
0,open the middle drawer of the cabinet,6,False,310,310
0,open the middle drawer of the cabinet,7,True,296,310
0,open the middle drawer of the cabinet,8,True,120,310
0,open the middle drawer of the cabinet,9,True,115,310
0,open the middle drawer of the cabinet,10,True,128,310
0,open the middle drawer of the cabinet,11,True,106,310
0,open the middle drawer of the cabinet,12,True,119,310
0,open the middle drawer of the cabinet,13,True,120,310
0,open the middle drawer of the cabinet,14,True,124,310
0,open the middle drawer of the cabinet,15,True,151,310
0,open the middle drawer of the cabinet,16,True,120,310
0,open the middle drawer of the cabinet,17,True,137,310
0,open the middle drawer of the cabinet,18,True,118,310
0,open the middle drawer of the cabinet,19,True,122,310
1,put the bowl on the stove,0,True,89,310
1,put the bowl on the stove,1,True,96,310
1,put the bowl on the stove,2,True,95,310
1,put the bowl on the stove,3,True,97,310
1,put the bowl on the stove,4,True,82,310
1,put the bowl on the stove,5,True,92,310
1,put the bowl on the stove,6,True,95,310
1,put the bowl on the stove,7,True,95,310
1,put the bowl on the stove,8,True,102,310
1,put the bowl on the stove,9,True,99,310
1,put the bowl on the stove,10,True,95,310
1,put the bowl on the stove,11,True,99,310
1,put the bowl on the stove,12,True,97,310
1,put the bowl on the stove,13,True,96,310
1,put the bowl on the stove,14,True,89,310
1,put the bowl on the stove,15,True,102,310
1,put the bowl on the stove,16,True,93,310
1,put the bowl on the stove,17,True,140,310
1,put the bowl on the stove,18,True,96,310
1,put the bowl on the stove,19,True,99,310
2,put the wine bottle on top of the cabinet,0,True,86,310
2,put the wine bottle on top of the cabinet,1,True,91,310
2,put the wine bottle on top of the cabinet,2,True,95,310
2,put the wine bottle on top of the cabinet,3,True,96,310
2,put the wine bottle on top of the cabinet,4,True,89,310
2,put the wine bottle on top of the cabinet,5,True,90,310
2,put the wine bottle on top of the cabinet,6,True,104,310
2,put the wine bottle on top of the cabinet,7,True,105,310
2,put the wine bottle on top of the cabinet,8,True,90,310
2,put the wine bottle on top of the cabinet,9,True,89,310
2,put the wine bottle on top of the cabinet,10,True,101,310
2,put the wine bottle on top of the cabinet,11,True,93,310
2,put the wine bottle on top of the cabinet,12,True,94,310
2,put the wine bottle on top of the cabinet,13,False,310,310
2,put the wine bottle on top of the cabinet,14,True,94,310
2,put the wine bottle on top of the cabinet,15,True,100,310
2,put the wine bottle on top of the cabinet,16,True,103,310
2,put the wine bottle on top of the cabinet,17,True,98,310
2,put the wine bottle on top of the cabinet,18,True,97,310
2,put the wine bottle on top of the cabinet,19,True,93,310
3,open the top drawer and put the bowl inside,0,True,196,310
3,open the top drawer and put the bowl inside,1,True,192,310
3,open the top drawer and put the bowl inside,2,True,184,310
3,open the top drawer and put the bowl inside,3,False,310,310
3,open the top drawer and put the bowl inside,4,False,310,310
3,open the top drawer and put the bowl inside,5,True,188,310
3,open the top drawer and put the bowl inside,6,True,183,310
3,open the top drawer and put the bowl inside,7,True,189,310
3,open the top drawer and put the bowl inside,8,True,200,310
3,open the top drawer and put the bowl inside,9,False,310,310
3,open the top drawer and put the bowl inside,10,True,201,310
3,open the top drawer and put the bowl inside,11,True,189,310
3,open the top drawer and put the bowl inside,12,True,193,310
3,open the top drawer and put the bowl inside,13,False,310,310
3,open the top drawer and put the bowl inside,14,True,198,310
3,open the top drawer and put the bowl inside,15,True,193,310
3,open the top drawer and put the bowl inside,16,True,194,310
3,open the top drawer and put the bowl inside,17,True,273,310
3,open the top drawer and put the bowl inside,18,True,235,310
3,open the top drawer and put the bowl inside,19,True,181,310
4,put the bowl on top of the cabinet,0,True,95,310
4,put the bowl on top of the cabinet,1,True,89,310
4,put the bowl on top of the cabinet,2,True,88,310
4,put the bowl on top of the cabinet,3,True,91,310
4,put the bowl on top of the cabinet,4,True,92,310
4,put the bowl on top of the cabinet,5,True,85,310
4,put the bowl on top of the cabinet,6,True,89,310
4,put the bowl on top of the cabinet,7,True,90,310
4,put the bowl on top of the cabinet,8,True,86,310
4,put the bowl on top of the cabinet,9,True,92,310
4,put the bowl on top of the cabinet,10,False,310,310
4,put the bowl on top of the cabinet,11,False,310,310
4,put the bowl on top of the cabinet,12,True,92,310
