task_id,task_name,episode_idx,success,steps,max_steps
0,put both the alphabet soup and the tomato sauce in the basket,0,True,309,530
0,put both the alphabet soup and the tomato sauce in the basket,1,True,299,530
0,put both the alphabet soup and the tomato sauce in the basket,2,True,266,530
0,put both the alphabet soup and the tomato sauce in the basket,3,True,281,530
0,put both the alphabet soup and the tomato sauce in the basket,4,True,340,530
0,put both the alphabet soup and the tomato sauce in the basket,5,True,275,530
0,put both the alphabet soup and the tomato sauce in the basket,6,True,291,530
0,put both the alphabet soup and the tomato sauce in the basket,7,True,271,530
0,put both the alphabet soup and the tomato sauce in the basket,8,True,257,530
0,put both the alphabet soup and the tomato sauce in the basket,9,True,247,530
0,put both the alphabet soup and the tomato sauce in the basket,10,True,325,530
0,put both the alphabet soup and the tomato sauce in the basket,11,True,284,530
0,put both the alphabet soup and the tomato sauce in the basket,12,True,288,530
0,put both the alphabet soup and the tomato sauce in the basket,13,True,284,530
0,put both the alphabet soup and the tomato sauce in the basket,14,True,315,530
0,put both the alphabet soup and the tomato sauce in the basket,15,True,278,530
0,put both the alphabet soup and the tomato sauce in the basket,16,True,263,530
0,put both the alphabet soup and the tomato sauce in the basket,17,True,288,530
0,put both the alphabet soup and the tomato sauce in the basket,18,False,530,530
0,put both the alphabet soup and the tomato sauce in the basket,19,True,351,530
1,put both the cream cheese box and the butter in the basket,0,True,251,530
1,put both the cream cheese box and the butter in the basket,1,True,252,530
1,put both the cream cheese box and the butter in the basket,2,True,277,530
1,put both the cream cheese box and the butter in the basket,3,True,308,530
1,put both the cream cheese box and the butter in the basket,4,True,283,530
1,put both the cream cheese box and the butter in the basket,5,True,241,530
1,put both the cream cheese box and the butter in the basket,6,True,258,530
1,put both the cream cheese box and the butter in the basket,7,True,268,530
1,put both the cream cheese box and the butter in the basket,8,True,263,530
1,put both the cream cheese box and the butter in the basket,9,True,246,530
1,put both the cream cheese box and the butter in the basket,10,True,253,530
1,put both the cream cheese box and the butter in the basket,11,True,249,530
1,put both the cream cheese box and the butter in the basket,12,True,261,530
1,put both the cream cheese box and the butter in the basket,13,True,229,530
1,put both the cream cheese box and the butter in the basket,14,True,263,530
1,put both the cream cheese box and the butter in the basket,15,True,270,530
1,put both the cream cheese box and the butter in the basket,16,True,234,530
1,put both the cream cheese box and the butter in the basket,17,True,269,530
1,put both the cream cheese box and the butter in the basket,18,True,259,530
1,put both the cream cheese box and the butter in the basket,19,True,264,530
